レース名,レース番号,レース種別,総周回数,日付,順位,コースID,プレイヤー名,チーム名,車両名,総合タイム,完走フラグ,ラップタイム詳細
"準決勝 第1レース","1","準決勝","5","2025-07-27T08:10:16.225Z","3","3","ドンゴロスプロジェクト","","","01:53.98","未完走","1|00:19.12;2|01:22.23"
"準決勝 第1レース","1","準決勝","5","2025-07-27T08:10:16.225Z","4","2","ヤマナカゴーキン","","","01:53.98","未完走","1|00:18.67"
"準決勝 第2レース","2","準決勝","5","2025-07-27T08:15:09.458Z","1","4","東京科学大学","","","01:57.68","完走","1|00:39.74;2|00:23.00;3|00:13.08;4|00:15.26;5|00:26.58"
"準決勝 第2レース","2","準決勝","5","2025-07-27T08:15:09.458Z","2","1","三輪鉱油","","","02:08.51","未完走","1|00:14.06;2|00:47.07;3|00:14.33;4|00:33.12"
"準決勝 第2レース","2","準決勝","5","2025-07-27T08:15:09.458Z","3","2","星翔高等学校","","アキとリク","02:08.51","未完走","1|00:43.79"
"準決勝 第2レース","2","準決勝","5","2025-07-27T08:15:09.458Z","4","3","鴻進テック","","","02:08.51","未完走",""
"準決勝 第3レース","3","準決勝","5","2025-07-27T08:19:46.042Z","1","4","ニコニコ技術部","","アズパカ","02:00.62","完走","1|00:12.68;2|00:33.57;3|00:32.49;4|00:23.70;5|00:18.17"
"準決勝 第3レース","3","準決勝","5","2025-07-27T08:19:46.042Z","2","1","西原精工","","","02:10.52","未完走","1|01:05.81;2|00:13.37;3|00:24.21"
"準決勝 第3レース","3","準決勝","5","2025-07-27T08:19:46.042Z","3","2","FACTAS","","","02:10.52","未完走","1|00:32.84;2|00:27.24;3|00:56.07"
"準決勝 第3レース","3","準決勝","5","2025-07-27T08:19:46.042Z","4","3","星翔高等学校","","ユーセイ","02:10.52","未完走","1|00:38.60;2|00:43.35"
"準決勝 第4レース","4","準決勝","5","2025-07-27T08:23:56.794Z","1","2","大阪工業大学","","彩建レインボー","01:40.46","完走","1|00:28.37;2|00:19.97;3|00:16.05;4|00:17.04;5|00:19.02"
"準決勝 第4レース","4","準決勝","5","2025-07-27T08:23:56.794Z","2","3","FACTORY KURA","","","01:40.91","完走","1|00:20.12;2|00:31.10;3|00:19.71;4|00:15.99;5|00:13.98"
"準決勝 第4レース","4","準決勝","5","2025-07-27T08:23:56.794Z","3","1","星翔高等学校","","匠くん","01:53.15","未完走","1|00:37.07;2|01:04.59"
"準決勝 第4レース","4","準決勝","5","2025-07-27T08:23:56.794Z","4","4","川重テクノロジー","","","01:53.15","未完走",""
"決勝","1","決勝","5","2025-07-27T08:36:57.896Z","1","2","ニコニコ技術部","","アズパカ","01:07.07","完走","1|00:10.49;2|00:21.54;3|00:15.15;4|00:10.53;5|00:09.36"
"決勝","1","決勝","5","2025-07-27T08:36:57.896Z","2","1","大阪工業大学","","彩建レインボー","01:35.91","完走","1|00:13.25;2|00:20.39;3|00:17.16;4|00:17.85;5|00:27.24"
"決勝","1","決勝","5","2025-07-27T08:36:57.896Z","3","4","あゆみプランニング","","","02:12.08","完走","1|00:50.15;2|00:17.43;3|00:44.70;4|00:08.85;5|00:10.94"
"決勝","1","決勝","5","2025-07-27T08:36:57.896Z","4","3","東京科学大学","","","02:24.41","完走","1|00:29.81;2|00:27.75;3|00:30.56;4|00:33.15;5|00:23.13"
